ncesId,stateSchoolId
480894000315,TX-227901-227901043
480894006509,TX-227901-227901176
480894013169,TX-227901-227901064
480894008060,TX-227901-227901015
480894011059,TX-227901-227901062
480894000316,TX-227901-227901116
480894012824,TX-227901-227901026
480894012864,TX-227901-227901025
480894000317,TX-227901-227901159
480894011063,TX-227901-227901186
480894000318,TX-227901-227901117
480894000319,TX-227901-227901118
480894008061,TX-227901-227901163
480894000320,TX-227901-227901119
480894000321,TX-227901-227901155
480894000322,TX-227901-227901162
480894011057,TX-227901-227901029
480894002470,TX-227901-227901178
480894000325,TX-227901-227901120
480894006207,TX-227901-227901044
480894002776,TX-227901-227901180
480894006212,TX-227901-227901172
480894000326,TX-227901-227901045
480894005398,TX-227901-227901168
480894000327,TX-227901-227901004
480894011930,TX-227901-227901018
480894011844,TX-227901-227901014
480894007137,TX-227901-227901035
480894000328,TX-227901-227901121
480894000329,TX-227901-227901160
480894013846,TX-227901-227901197
480894000330,TX-227901-227901122
480894000331,TX-227901-227901051
480894000332,TX-227901-227901123
480894008939,TX-227901-227901165
480894000333,TX-227901-227901005
480894000334,TX-227901-227901147
480894006209,TX-227901-227901058
480894000335,TX-227901-227901124
480894008062,TX-227901-227901181
480894000336,TX-227901-227901052
480894000337,TX-227901-227901150
480894000338,TX-227901-227901047
480894000339,TX-227901-227901148
480894000340,TX-227901-227901125
480894000341,TX-227901-227901156
480894000342,TX-227901-227901126
480894011066,TX-227901-227901189
480894011065,TX-227901-227901188
480894006211,TX-227901-227901171
480894008938,TX-227901-227901061
480894006070,TX-227901-227901143
480894000344,TX-227901-227901128
480894000345,TX-227901-227901129
480894011067,TX-227901-227901190
480894008389,TX-227901-227901032
480894009078,TX-227901-227901164
480894000346,TX-227901-227901151
480894000347,TX-227901-227901130
480894000350,TX-227901-227901006
480894000351,TX-227901-227901132
480894011354,TX-227901-227901028
480894000352,TX-227901-227901133
480894008392,TX-227901-227901174
480894005396,TX-227901-227901251
480894013132,TX-227901-227901065
480894000355,TX-227901-227901127
480894000356,TX-227901-227901139
480894008390,TX-227901-227901060
480894000357,TX-227901-227901136
480894000358,TX-227901-227901138
480894000359,TX-227901-227901158
480894012204,TX-227901-227901027
480894007741,TX-227901-227901036
480894009077,TX-227901-227901030
480894000360,TX-227901-227901007
480894000361,TX-227901-227901140
480894012058,TX-227901-227901177
480894000362,TX-227901-227901141
480894002468,TX-227901-227901053
480894012842,TX-227901-227901193
480894006213,TX-227901-227901175
480894000364,TX-227901-227901166
480894000365,TX-227901-227901157
480894000366,TX-227901-227901152
480894000367,TX-227901-227901144
480894000368,TX-227901-227901145
480894000369,TX-227901-227901146
480900000372,TX-196901-196901102
480900000371,TX-196901-196901001
480903000374,TX-070901-070901001
480906000375,TX-194902-194902101
480906000376,TX-194902-194902001
480909000378,TX-034902-034902001
480915000379,TX-161918-161918101
480915000380,TX-161918-161918001
480915008982,TX-161918-161918041
480915006358,TX-161918-161918199
480920000381,TX-220915-220915104
480920000382,TX-220915-220915001
480920012892,TX-220915-220915003
480920000383,TX-220915-220915041
480920008042,TX-220915-220915108
480920000384,TX-220915-220915102
480920005401,TX-220915-220915105
480920008374,TX-220915-220915042
480920006359,TX-220915-220915106
480920005445,TX-220915-220915107
480920000385,TX-220915-220915103
480928006360,TX-030903-030903101
480928000387,TX-030903-030903001
480928011158,TX-030903-030903041
480930000388,TX-200901-200901101
480930000389,TX-200901-200901001
480930000390,TX-200901-200901041
480930011322,TX-200901-200901003
480933000392,TX-195902-195902001
480936000394,TX-010902-010902101
480936000395,TX-010902-010902001
480936000396,TX-010902-010902041
480936005863,TX-010902-010902102
480939000398,TX-025901-025901001
480939005402,TX-025901-025901041
480939000397,TX-025901-025901101
480941000399,TX-178913-178913101
480941000400,TX-178913-178913001
480941000401,TX-178913-178913041
480945011547,TX-036902-036902005
480945012941,TX-036902-036902104
480945012919,TX-036902-036902105
480945000403,TX-036902-036902001
480945006361,TX-036902-036902301
480945013042,TX-036902-036902042
480945012964,TX-036902-036902043
480945008472,TX-036902-036902102
480945013300,TX-036902-036902006
480945013631,TX-036902-036902302
480954000406,TX-014902-014902001
480143813659,TX-015834-015834101
480143813202,TX-015834-015834002
